Nº;Matricula;Placa policial;Código vehiculo;Nombre vehiculo;Categoria;Convenio
1;CCCI3943;--;club;Club;Compactos;
2;NGEN4071;--;dominator3;Dominator GTX;Muscle;
3;LGEN9870;--;weevil;Weevil;Compactos;
4;OPIW3966;--;panthere;Panthere;Deportivo;
5;YIXN3746;--;elegy;Elegy Retro Custom;Deportivo;
6;TJGK3084;--;cliffhanger;Cliffhanger;Motos;
7;ENFC2689;--;dominator3;Dominator GTX;Muscle;
8;XDWW8209;--;issi7;Issi Sport;Compactos;BENNY's Original Motor Works
9;HRUA9940;--;previon;Previon;Coupes;
10;GHGT5968;--;paragon3;Paragon S;Deportivo;Bohem Beach
11;NONX6344;--;asterope2;Asterope GZ;Sedans;
12;HBMA4828;--;penumbra2;Penumbra FF;Deportivo;
13;GPVL5100;--;previon;Previon;Coupes;
14;RAU520;449;--;Vehículo policial;--;SAPD
15;LFXB4037;--;kanjosj;Kanjo SJ;Coupes;
16;FRCV5271;--;gbprospero;Prospero;VIP;
17;MCNS0708;--;issi2;Issi;Compactos;
18;NMWO3266;--;akuma;Akuma;Motos;
19;PYAW8032;--;prairie;Prairie;Compactos;
20;AUCZ7119;--;dorado;Dorado;SUVs;
21;PUFC4026;--;l35;Walton L35;Todoterrenos;
22;TXBR6357;--;l35;Walton L35;Todoterrenos;
23;ISXX9624;--;ratbike;Rat Bike;Motos;
24;KPKF8177;--;gbgresleystx;Gresley STX;VIP;
25;TURM4278;--;offzenith;Zenith Offroad;VIP;
26;UFUW2361;--;terminus;Terminus;Todoterrenos;
27;TNLC2460;--;obeysport;Obey Sport GT;VIP;
28;NNZN2499;--;gbcomets2r;Comet S2R;VIP;
29;HWGQ7355;--;picador;Picador;Muscle;
30;RNDE2294;--;jugular;Jugular;Deportivo;
31;DETF0654;--;bf400;BF400;Motos;
32;VYGS6478;--;issi3;Issi Classic;Compactos;
33;ZXBG2715;--;asea;Asea;Sedans;
34;BOIA5743;--;asbo;Asbo;Compactos;
35;XRR841;429;--;Vehículo policial;--;
36;WUQ T5574;--;gbmogulrs;Mogul RS;VIP;BENNY's Original Motor Works
37;IKHP9762;--;previon;Previon;Coupes;BENNY's Original Motor Works
38;RZKZ0198;--;issi3;Issi Classic;Compactos;
39;VBJW6018;--;g4m82;G4 M82;VIP;
40;RSV117;108;--;Vehículo policial;--;SAPD
41;BXK386;118;--;Vehículo policial;--;SAPD
42;ZQRC4725;--;hexer;Hexer;Motos;
43;XYFG1744;--;asterope;Asterope;Sedans;
44;KHYK0121;--;primo;Primo;Sedans;
45;XPNO3678;--;obeysport;Obey Sport GT;VIP;
46;XAYV2982;--;dominator7;Dominator ASP;Muscle;
47;NEBL0083;--;ratbike;Rat Bike;Motos;
48;UIJV5953;--;rhinehart;Rhinehart;Sedans;Weedland
49;ZJJZ853;431;--;Vehículo policial;--;
50;YWBX4695;--;winky;Winky;Todoterrenos;
51;MVKR1970;--;asbo;Asbo;Compactos;
52;PEDX0772;--;issi2;Issi;Compactos;
53;ELEK3518;--;tailgater2;Tailgater S;Sedans;
54;ZJEZ3115;--;cogcabrio;Cognoscenti Cabrio;Coupes;
55;RQXN6987;--;issi7;Issi Sport;Compactos;
56;JRTK2645;--;dominator9;Dominator GT;Muscle;
57;JGK310;450;--;Vehículo policial;--;
58;FIXF5433;--;kuruma;Kuruma;Deportivo;
59;VRB139;440;--;Vehículo policial;--;
60;GWT136;465;--;Vehículo policial;--;
61;VQDJ7400;--;cogcabrio;Cognoscenti Cabrio;Coupes;
62;HELV9054;--;previon;Previon;Coupes;
63;SEEX1215;--;issi3;Issi Classic;Compactos;
64;EIWH2998;--;gbcomets2r;Comet S2R;VIP;
65;ZTXD3468;--;asea;Asea;Sedans;
66;HCNH7836;--;eudora;Eudora;Sedans;
67;UIY16148;--;previon;Previon;Coupes;
68;ZXQ249;442;--;Vehículo policial;--;
69;CHYI4001;--;gbsapphire;Sapphire;VIP;
70;BEAW5982;--;bobcatxl;Bobcat XL Open;Furgonetas;
71;ULN820;136;--;Vehículo policial;--;
72;PIKQ5900;--;gbbisonhf;Bison HF;VIP;
73;PSUS0443;--;gbgresleystx;Gresley STX;VIP;
74;MWI840;400;--;Vehículo policial;--;SAPD
75;PQG029;444;--;Vehículo policial;--;SAPD
76;KVLQ6256;--;primo;Primo;Sedans;
77;DWN192;--;bobcatxl;Bobcat XL Open;Furgonetas;
78;TAHM1989;--;asbo;Asbo;Compactos;
79;JGUZ6925;--;sugoi;Sugoi;Deportivo;
80;HVTI9159;--;--;Vehículo policial;--;
81;HZP752;167;--;Vehículo policial;--;
82;HALY9054;--;previon;Previon;Coupes;
83;EYOR6215;--;vindicator;Vindicator;Motos;
84;HFTM9998;--;comet2;Comet;Deportivo;
85;CFUJ5828;--;s790anim;S790 Animated;VIP;
86;WILC0834;--;gbmogulrs;Mogul RS;VIP;
87;KZL527;157;--;Vehículo policial;--;
88;QZP749;438;--;Vehículo policial;--;
89;AIZV9132;--;dominator3;Dominator GTX;Muscle;
90;WXYC4758;--;blista2;Blista Compact;Compactos;
91;ZQRC4725;--;hexer;Hexer;Motos;
92;IGTJ2586;--;asterope;Asterope;Sedans;
93;KGH883;441;--;Vehículo policial;--;
94;ZBT195;167;--;Vehículo policial;--;
95;ITGH5463;--;manchez;Manchez;Motos;
96;ZGNT0556;--;tailgater2;Tailgater S;Sedans;
97;ZQHY690;--;rhinehart;Rhinehart;Sedans;
98;DKFN6682;--;gbdominatorgsx;Dominator GSX;VIP;Ruta 68
99;EHVL9487;--;primo;Primo;Sedans;
100;XJR858;--;buffalo;Buffalo;Muscle;
101;EHNU6555;--;gbprospero;Prospero;VIP;
102;MVT991;162;--;Vehículo policial;--;
103;LYBM5972;--;gbprospero;Prospero;VIP;
104;GANQ0576;--;ratbike;Rat Bike;Motos;
105;SERQ2225;--;dominator8;Dominator GTT;Muscle;
106;EVJ001;405;--;Vehículo policial;--;
107;FWW275;429;--;Vehículo policial;--;
108;SXZW6996;--;kuruma;Kuruma;Deportivo;
109;RELH4978;--;bf400;BF400;Motos;
110;LPPD8246;--;bmx;BMX;Bicicletas;
111;NGIF9831;--;dominator9;Dominator GT;Muscle;
112;QHQP6603;--;rhinehart;Rhinehart;Sedans;
113;TFJA2062;--;vigero2;Vigero ZX;Muscle;
114;ZQUZ2320;--;drafter;8F Drafter;Deportivo;
115;IXGK1552;--;turismo2;Turismo Classic;Deportivo clasico;
116;ECQW9448;--;tailgater2;Tailgater S;Sedans;
117;YVJN4833;--;esskey;Esskey;Motos;
118;CMBX4563;--;akuma;Akuma;Motos;BENNY's Original Motor Works
119;MGUR4347;--;blista2;Blista Compact;Compactos;
120;UAHJ2038;--;komoda;Komoda;Deportivo;
121;EGD046;427;--;Vehículo policial;--;
122;UPJY1523;--;asbo;Asbo;Compactos;
123;FDFU4839;--;blista;Blista;Compactos;
124;AIAX9241;--;s790;s790;VIP;
125;TPP084;475;--;Vehículo policial;--;SAPD
126;FLOH9991;--;rhinehart;Rhinehart;Sedans;
127;TTP084;475;--;Vehículo policial;--;
128;HVCD6957;--;akuma;Akuma;Motos;
129;NPGY2856;--;asea;Asea;Sedans;
130;XVRD0085;--;gbsultanrsx;Sultan RSX;VIP;
131;KOZ527;141;--;Vehículo policial;--;
132;HALC1687;--;zr6gt;ZR6 GT;VIP;
133;GYNE5125;--;issi3;Issi Classic;Compactos;
134;ZWEK6694;--;asterope2;Asterope GZ;Sedans;
135;RPN209;150;--;Vehículo policial;--;
136;STJB7120;--;previon;Previon;Coupes;
137;JKJ513;433;--;Vehículo policial;--;
138;OSV018;149;--;Vehículo policial;--;
139;VDTP4273;--;asbo;Asbo;Compactos;
140;LBH535;465;--;Vehículo policial;--;SAPD
141;FMVK3063;--;zr6gt;ZR6 GT;VIP;
142;PVVG9534;--;akuma;Akuma;Motos;
143;VKQ299;454;--;Vehículo policial;--;SAPD
144;VSW032;450;--;Vehículo policial;--;
145;QOEG6990;--;sultanrs;Sultan RS;Deportivo;
146;ZUM788;112;--;Vehículo policial;--;
147;PPAF1721;--;akuma;Akuma;Motos;
148;TRV825;118;--;Vehículo policial;--;
149;NIFN4614;--;l35;Walton L35;Todoterrenos;
150;IVLW9719;--;gbmogulrs;Mogul RS;VIP;
151;AUS618;434;--;Vehículo policial;--;
152;OQRN4365;--;gbcomets2r;Comet S2R;VIP;
153;BSKG9363;--;gbstarlight;Starlight;VIP;
154;IGSS8180;--;elegy;Elegy Retro Custom;Deportivo;
155;EOYE8652;--;g4m82;G4 M82;VIP;
156;WLIZ4628;--;620gts;620 GTS;VIP;
157;TIXB4965;--;shinobi;Shinobi;Motos;
158;QFYR6146;--;slamvan;Slam Van;Muscle;
159;GJRN8387;--;asterope;Asterope;Sedans;
160;PMTZ3603;--;issi3;Issi Classic;Compactos;
161;XOVP8482;--;elegy;Elegy Retro Custom;Deportivo;
162;FCUE0464;--;primo;Primo;Sedans;
163;QPWS8994;--;asea;Asea;Sedans;
164;EVHG6881;--;issi3;Issi Classic;Compactos;
165;BBLT1589;--;l35;Walton L35;Todoterrenos;
166;DSML5445;--;primo2;Primo Custom;Sedans;
167;AMCR2383;--;terminus;Terminus;Todoterrenos;
168;SOFW4173;--;brioso2;Brioso 300;Compactos;
169;LSU668;452;--;Vehículo policial;--;
170;RWO005;150;--;Vehículo policial;--;
171;FXU223;433;--;Vehículo policial;--;
172;QZUT8797;--;gargoyle;Gargoyle;Motos;
173;WOUQ2130;--;weevil;Weevil;Compactos;
174;SWV850;433;--;Vehículo policial;--;
175;LXP701;427;--;Vehículo policial;--;
176;UDNM6493;--;akuma;Akuma;Motos;
177;CPKT5136;--;previon;Previon;Coupes;
178;OTF047;118;--;Vehículo policial;--;
179;HDK998;130;--;Vehículo policial;--;
180;VEH913;137;--;Vehículo policial;--;
181;RNOJ5174;--;manana;Manana;Muscle;
182;HUBW9003;--;s790anim;S790 Animated;VIP;
183;QRYZ2584;--;previon;Previon;Coupes;
184;UZS050;465;--;Vehículo policial;--;
185;JFF604;--;shinobi;Shinobi;Motos;
186;YYM604;433;--;Vehículo policial;--;
187;TKX593;--;stanier;Stanier;Sedans;
188;XXUY7850;--;thrust;Thrust;Motos;
189;LAM711;406;--;Vehículo policial;--;
190;IFOQ7209;--;primo;Primo;Sedans;
191;FVGB9634;--;obeysport;Obey Sport GT;VIP;
192;FAA546;167;--;Vehículo policial;--;
193;SIZU7624;--;previon;Previon;Coupes;
194;UIW555;--;akuma;Akuma;Motos;SAPD
195;AOIW3653;--;asterope2;Asterope GZ;Sedans;BENNY's Original Motor Works
196;LRVF1991;--;cogcabrio;Cognoscenti Cabrio;Coupes;BENNY's Original Motor Works
197;IBYL4068;--;faggio3;Faggio Mod;Motos;
198;IWRG0023;--;zr6gt;ZR6 GT;VIP;
199;OVBP1408;--;omnis;Omnis;Deportivo;
200;ATN605;442;--;Vehículo policial;--;
201;IJEI0809;--;faggio3;Faggio Mod;Motos;
202;EET259;178;--;Vehículo policial;--;SAPD
203;HXQG1998;--;akuma;Akuma;Motos;
204;OFXB1336;--;mesa;Mesa;Todoterrenos;
205;LUC403;180;--;Vehículo policial;--;
206;TTDJ5330;--;elegy;Elegy Retro Custom;Deportivo;
207;INXD1289;--;draugur;Draugur;Todoterrenos;
208;FRFF8392;--;asbo;Asbo;Compactos;
209;HOTX7723;--;hellion;Hellion;Todoterrenos;
210;NNR784;426;--;Vehículo policial;--;
211;MYY335;469;--;Vehículo policial;--;
212;VVT740;426;--;Vehículo policial;--;
213;CAYD7630;--;gbmojave;Mojave;VIP;Departamento de Justicia
214;ZITA0080;--;asterope;Asterope;Sedans;
215;UMWE6564;--;nightblade;Nightblade;Motos;
216;JTOK7325;--;obeysport;Obey Sport GT;VIP;
217;VSHM7213;--;dominator9;Dominator GT;Muscle;
218;VOUH5013;--;eudora;Eudora;Sedans;
219;DHHS3727;--;vorschlaghammer;Vorschlaghammer;Deportivo;
220;CPD370;119;--;Vehículo policial;--;
221;WXT112;449;--;Vehículo policial;--;SAPD
222;QYHC1998;--;gauntlet4;Gauntlet Hellfire;Muscle;
223;XUA976;163;--;Vehículo policial;--;SAPD
